City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Silvan,TR,2021-12-07 10:48:01,38.1419,41.0081,48.49,32,46,4.38
283,Shingu,JP,2021-12-07 10:48:01,33.7333,135.9833,54.59,90,100,6.11
284,Aripuana,BR,2021-12-07 10:48:02,-9.1667,-60.6333,73.4,91,100,1.97
285,Bonfim,BR,2021-12-07 10:48:03,3.0833,-59.95,77.09,79,70,3.78
286,Diksmuide,BE,2021-12-07 10:48:03,51.0333,2.8667,40.12,89,75,9.22
287,Saint-Joseph,RE,2021-12-07 10:48:03,-21.3667,55.6167,84.56,74,31,9.37
288,Kandrian,PG,2021-12-07 10:48:04,-6.2167,149.55,79.68,86,97,7.31
289,Blyth,GB,2021-12-07 10:48:04,55.1271,-1.5086,40.33,85,20,1.01
290,Shabrovskiy,RU,2021-12-07 10:48:05,56.636,60.5807,5.61,66,0,13.42
291,Coquimbo,CL,2021-12-07 10:46:25,-29.9533,-71.3436,58.73,82,90,4.61
292,Willowmore,ZA,2021-12-07 10:48:05,-33.2926,23.4895,65.55,63,99,7.67
