City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Aswan,EG,24.0934,32.907,85.3,42,84,5.75,broken clouds
333,Saint-Georges,GD,12.0564,-61.7485,74.88,94,75,9.22,broken clouds
334,Kortkeros,RU,61.8106,51.5806,10.4,95,100,6.42,overcast clouds
335,Vernon,CA,50.2581,-119.2691,34.16,69,100,2.3,overcast clouds
336,Yar-Sale,RU,66.8333,70.8333,-12.95,100,71,5.35,broken clouds
337,Riohacha,CO,11.5444,-72.9072,71.8,91,98,6.42,overcast clouds
338,Key West,US,24.5557,-81.7826,77.0,86,1,6.91,clear sky
339,Kenai,US,60.5544,-151.2583,-2.15,79,1,0.0,mist
340,Singkawang,ID,0.9,109.0,82.04,76,55,5.84,moderate rain
341,Polunochnoye,RU,60.8697,60.4153,5.07,96,99,2.66,overcast clouds
342,Tiznit,MA,29.5833,-9.5,63.63,38,100,9.55,overcast clouds
343,Hamilton,US,39.1834,-84.5333,34.77,78,1,6.91,clear sky
344,Hambantota,LK,6.1241,81.1185,77.34,100,75,9.22,thunderstorm
